Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
89,BENESPHERA CF LYSE 500 ML BOTTLE,BENESPHERA CF LYSE 500 ML BOTTLE,3,BOTT,Buyerprocnagar,30
90,BENESPHERA DILUENT 20 LTR AVENTER,BENESPHERA DILUENT 20 LTR AVENTER,2,NOS,Buyerprocnagar,30
91,BENESPHERA PROBE CLEANER AVENTER COLOR WHITE BOTTLE,BENESPHERA PROBE CLEANER AVENTER COLOR WHITE BOTTLE,1,BOTT,Buyerprocnagar,30
92,BENESPHARA RINSE 20 LTR AVENTER,BENESPHARA RINSE 20 LTR AVENTER,2,NO,Buyerprocnagar,30
93,DR MOROPEN GLUCOSE TEST STRIP BG03  50 STRIPSperONE BOX,DR MOROPEN GLUCOSE TEST STRIP BG03  50 STRIPSperONE BOX,200,BOTT,Buyerprocnagar,30
94,DR MOROPEN GLUCO ONE BG03 GLUCOMETER,DR MOROPEN GLUCO ONE BG03 GLUCOMETER,4,NO,Buyerprocnagar,30
95,ERBA MANHEIM CHEM7 PAPER ROLL,ERBA MANHEIM CHEM7 PAPER ROLL,60,NO,Buyerprocnagar,30
96,LABORATORY FORCEPS,LABORATORY FORCEPS,6,NO,Buyerprocnagar,30
97,RA FACTOR KIT ERBA,RA FACTOR KIT ERBA,6,KIT,Buyerprocnagar,30
98,LDH KIT ERBA,LDH KIT ERBA,6,KIT,Buyerprocnagar,30
99,CRP SPAN KIT,CRP SPAN KIT,6,KIT,Buyerprocnagar,30
100,GLOVES SIZE 7 NON PWDR,GLOVES SIZE 7 NON PWDR,300,PAIR,Buyerprocnagar,30
101,DISPOSAL MICRO TIPS 100to1000 ul PACK OF 1000,DISPOSAL MICRO TIPS 100to1000 ul PACK OF 1000,3,PKT,Buyerprocnagar,30
102,TEST TUBE  100X12MM,TEST TUBE  100X12MM,3,No,Buyerprocnagar,30
103,CBC SERACHEM LYSING REAGENT,CBC SERACHEM LYSING REAGENT,2,NO,Buyerprocnagar,30
104,CBC SERACHEM CLEANING SOLN,CBC SERACHEM CLEANING SOLN,2,No,Buyerprocnagar,30
105,CBC SERACHEM DILUENT REAGENT,CBC SERACHEM DILUENT REAGENT,1,NO,Buyerprocnagar,30
106, DRABKIN SOLUTION FOR HAEMOGLOBIN ESTIMATION, DRABKIN SOLUTION FOR HAEMOGLOBIN ESTIMATION,18,BOTT,Buyerprocnagar,30
107, ISOPROPHYL ALCOHOL BOTTLE 500 ML, ISOPROPHYL ALCOHOL BOTTLE 500 ML,6,BOTT,Buyerprocnagar,30
108,MICROTIPS SMALL,MICROTIPS SMALL,30,No,Buyerprocnagar,30
109,GLUCOSE POWDER,GLUCOSE POWDER,120,Gm,Buyerprocnagar,30
